Estadística de Defunciones según la Causa de Muerte
Defunciones según causa de muerte
Defunciones por causas (capítulos), sexo y provincia
Unidades:   Personas

,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
001-102  I-XXII.Todas las causas,
    Total,
            Nacional,493.776,418.703,427.721,424.523,410.611,422.568,395.830,390.419,402.950,387.911,382.047,
            02 Albacete,4.868,3.731,3.727,3.736,3.670,3.700,3.720,3.508,3.663,3.454,3.303,
            03 Alicante/Alacant,17.555,15.908,16.270,15.974,15.155,15.853,14.877,14.541,15.206,14.248,13.993,
            04 Almería,5.698,5.270,5.543,5.206,4.969,5.307,4.764,4.737,4.948,4.759,4.579,
            01 Araba/Álava,3.267,2.738,2.765,2.812,2.688,2.766,2.476,2.583,2.521,2.519,2.430,
            33 Asturias,14.550,12.893,13.238,13.152,13.204,13.550,12.812,12.722,13.151,12.678,12.725,
            05 Ávila,2.537,2.026,2.039,2.162,1.992,2.146,2.040,2.064,2.102,2.044,2.062,
            06 Badajoz,7.470,6.783,6.913,6.896,6.755,6.898,6.560,6.608,6.814,6.408,6.642,
            07 Balears, Illes,8.559,7.995,8.206,8.353,7.939,8.322,7.847,7.660,8.068,7.668,7.683,
            08 Barcelona,59.652,46.836,48.413,48.414,46.277,47.051,44.685,44.407,45.939,43.818,43.421,
            48 Bizkaia,13.245,11.967,11.963,11.813,11.759,11.812,11.159,10.743,11.246,11.013,10.803,
            09 Burgos,4.777,3.891,4.008,4.016,3.838,3.865,3.838,3.754,3.942,3.784,3.552,
            10 Cáceres,5.629,4.478,4.538,4.689,4.482,4.621,4.239,4.435,4.533,4.176,4.174,
            11 Cádiz,11.224,10.044,10.485,10.007,9.902,10.121,9.278,9.438,9.764,9.162,9.017,
            39 Cantabria,6.467,6.013,6.096,5.958,5.936,6.041,5.899,5.603,5.812,5.606,5.466,
            12 Castellón/Castelló,5.685,5.268,5.595,5.293,5.139,5.382,5.036,4.971,4.984,4.965,4.837,
            13 Ciudad Real,6.927,5.223,5.131,5.419,5.117,5.602,5.039,5.020,5.305,5.005,4.730,
            14 Córdoba,8.299,7.749,7.822,7.873,7.499,7.873,7.158,7.160,7.548,7.215,7.006,
            15 Coruña, A,12.873,12.382,13.098,12.657,12.575,12.601,12.036,12.147,11.992,11.708,11.708,
            16 Cuenca,3.177,2.443,2.436,2.500,2.405,2.507,2.293,2.395,2.471,2.287,2.252,
            20 Gipuzkoa,7.740,6.861,7.035,7.009,6.777,6.933,6.531,6.394,6.514,6.300,6.130,
            17 Girona,7.210,6.482,6.574,6.407,6.114,6.401,6.014,5.803,6.139,5.706,5.771,
            18 Granada,9.599,7.997,8.427,8.184,8.014,8.454,7.678,7.507,7.957,7.668,7.618,
            19 Guadalajara,2.797,1.994,2.025,2.083,2.024,2.145,1.826,1.806,1.944,1.835,1.765,
            21 Huelva,4.696,4.354,4.538,4.424,4.480,4.369,4.286,4.380,4.591,4.230,4.152,
